filename,label,access,alarm,arch_prctl,brk,close,close_range,connect,execve,fcntl,futex,getdents64,geteuid,getpid,getrandom,getuid,ioctl,kill,lseek,mmap,mprotect,munmap,newfstatat,openat,pread64,prlimit64,read,rseq,rt_sigaction,set_robust_list,set_tid_address,socket,statfs,umask,write
./examples/example3.strace,,1,,2,3,9,,2,1,,,,1,,1,,,,1,9,4,1,9,5,4,1,4,1,,1,1,2,,,1
./examples/example2.strace,,2,15,2,3,9,,,1,10,,,,,1,,,1,2,10,4,1,9,10,9,1,5,1,10,1,1,,,,1
./examples/example1.strace,,2,,2,3,9,,,1,,,2,,,1,,2,,,18,7,1,8,7,4,1,5,1,,1,1,,2,,1
./examples/example4.strace,,2,,2,7,21,1,2,1,,17,,,6,2,1,,,1,59,21,1,21,19,4,1,22,1,,1,1,2,2,1,1
